model,split,accuracy,precision_macro,recall_macro,f1_macro,normal_recall,pneumonia_recall,auc,ap
Cecilia,val,0.9520613614573347,0.933774067985564,0.9421112181030332,0.9378314068818189,0.9216417910447762,0.9625806451612903,0.9869956668271546,0.9948578889962034
Cecilia,test,0.8782051282051282,0.9072681704260652,0.8418803418803419,0.8605553791327052,0.6965811965811965,0.9871794871794872,0.9561143984220908,0.9695388162400407
VGG16,val,0.9789069990412272,0.9734809997967893,0.9711603273952816,0.9723131201976911,0.9552238805970149,0.9870967741935484,0.9982137698603756,0.9993900998937761
VGG16,test,0.842948717948718,0.8965825729110752,0.7914529914529915,0.8123434968331125,0.5854700854700855,0.9974358974358974,0.9766600920447074,0.9851764579375816
ResNet18,val,0.9961649089165868,0.9949783341357727,0.9949783341357727,0.9949783341357727,0.9925373134328358,0.9974193548387097,0.9999662975445354,0.9999883925263858
ResNet18,test,0.8717948717948718,0.9123931623931625,0.8299145299145299,0.8508158508158508,0.6623931623931624,0.9974358974358974,0.9787913653298268,0.9818714610990897
